feature,importance
ext_source_2,892
days_birth,843
ext_source_3,838
ext_source_1,768
amt_credit,729
days_id_publish,680
amt_annuity,665
days_registration,620
pos_avg_future,602
bureau_avg_days_enddate,595
days_employed,594
bureau_avg_days_credit,559
bureau_total_credit,548
prev_avg_days_decision,539
amt_goods_price,523
days_last_phone_change,514
region_population_relative,506
prev_avg_annuity,486
inst_avg_amount,482
prev_avg_down_payment,474
inst_total_payment,467
bureau_total_debt,444
prev_max_credit,436
bureau_debt_ratio,436
amt_income_total,426
prev_avg_days_last_due,407
inst_avg_payment_diff,394
pos_avg_instalment,389
inst_late_rate,388
inst_count,372
prev_avg_application,362
prev_avg_credit,357
organization_type,322
inst_avg_days_late,321
pos_active,303
hour_appr_process_start,300
prev_approval_rate,297
inst_max_payment_diff,273
pos_months_count,260
bb_avg_months_balance,258
bb_months_count,252
cc_months_count,235
occupation_type,234
own_car_age,232
bureau_active_loans,223
cc_avg_credit_limit,218
bureau_loan_count,212
bb_dpd_count,210
totalarea_mode,209
cc_utilization,208
inst_max_days_late,200
cc_max_balance,190
name_family_status,174
cc_avg_payment,166
weekday_appr_process_start,161
cc_avg_drawings,159
prev_app_refused,156
prev_app_count,153
bureau_closed_loans,148
landarea_mode,142
nonlivingarea_mode,135
years_beginexpluatation_avg,135
basementarea_mode,131
pos_max_dpd_def,129
landarea_avg,129
nonlivingarea_avg,129
basementarea_avg,128
prev_app_approved,127
pos_avg_dpd,126
code_gender,125
years_beginexpluatation_mode,123
apartments_avg,123
livingarea_avg,119
apartments_mode,119
livingarea_mode,117
inst_late_count,115
commonarea_avg,115
commonarea_mode,114
amt_req_credit_bureau_year,114
name_education_type,114
livingapartments_mode,109
years_build_avg,109
obs_30_cnt_social_circle,103
obs_60_cnt_social_circle,103
cc_avg_balance,101
years_build_mode,99
years_beginexpluatation_medi,95
name_income_type,95
amt_req_credit_bureau_qrt,94
pos_completed,91
pos_max_dpd,90
apartments_medi,89
name_type_suite,88
livingarea_medi,88
landarea_medi,87
nonlivingarea_medi,85
commonarea_medi,80
basementarea_medi,80
def_30_cnt_social_circle,74
livingapartments_avg,73
region_rating_client_w_city,72
bb_overdue_count,71
floorsmin_avg,69
entrances_avg,68
livingapartments_medi,68
flag_own_car,68
flag_document_3,67
cnt_fam_members,66
name_housing_type,65
flag_work_phone,63
name_contract_type,60
def_60_cnt_social_circle,60
cc_avg_receivable,59
bureau_avg_overdue,59
wallsmaterial_mode,57
cnt_children,57
cc_avg_dpd,55
reg_city_not_live_city,55
floorsmax_avg,54
amt_req_credit_bureau_mon,52
nonlivingapartments_mode,48
fondkapremont_mode,47
nonlivingapartments_avg,45
years_build_medi,44
entrances_medi,44
flag_own_realty,43
entrances_mode,43
elevators_avg,41
flag_document_18,36
region_rating_client,33
flag_phone,31
floorsmin_mode,30
floorsmax_mode,26
cc_max_dpd,26
floorsmax_medi,25
bureau_max_overdue,23
floorsmin_medi,23
flag_document_16,23
flag_document_13,22
live_city_not_work_city,21
reg_city_not_work_city,20
elevators_mode,20
amt_req_credit_bureau_week,19
flag_email,19
nonlivingapartments_medi,17
flag_document_11,14
elevators_medi,13
flag_document_14,13
bureau_sum_overdue,11
amt_req_credit_bureau_day,11
flag_cont_mobile,9
flag_document_6,9
emergencystate_mode,8
flag_document_8,8
reg_region_not_work_region,6
flag_document_15,6
live_region_not_work_region,6
flag_document_5,6
reg_region_not_live_region,5
amt_req_credit_bureau_hour,3
housetype_mode,3
flag_emp_phone,2
flag_document_9,1
flag_document_19,1
flag_mobil,0
flag_document_20,0
flag_document_17,0
flag_document_21,0
flag_document_2,0
flag_document_7,0
flag_document_4,0
flag_document_12,0
flag_document_10,0
