iter	Logloss
0	0.6628696052
1	0.6348014564
2	0.606441635
3	0.5814164253
4	0.5584085522
5	0.5363646156
6	0.5162341972
7	0.4970051872
8	0.4801724906
9	0.4647167117
10	0.4506345045
11	0.4371937732
12	0.4247470163
13	0.4126577329
14	0.4016826675
15	0.39262257
16	0.3831607523
17	0.3750990603
18	0.3677627274
19	0.3605286704
20	0.3541492514
21	0.347368499
22	0.3414094519
23	0.3357222421
24	0.3307085544
25	0.3263407974
26	0.3225409084
27	0.3186706611
28	0.3149039231
29	0.3115396747
30	0.3080875217
31	0.3050389878
32	0.3017657237
33	0.2992329033
34	0.2966290941
35	0.2943089623
36	0.2919838721
37	0.2899622446
38	0.2880602421
39	0.2862045067
40	0.2842771545
41	0.2827883696
42	0.2812231769
43	0.2796088973
44	0.2781510674
45	0.2767148487
46	0.2755162212
47	0.2745119993
48	0.2733738538
49	0.2722756564
50	0.2712568867
51	0.2703955932
52	0.2696408511
53	0.2690112129
54	0.2683457219
55	0.2675578028
56	0.2668949146
57	0.2661737429
58	0.2655385804
59	0.2650243816
60	0.2644114934
61	0.2638163426
62	0.2632936434
63	0.2628680697
64	0.2624933229
65	0.2620421022
66	0.2616144669
67	0.2612266302
68	0.2608639662
69	0.2604570206
70	0.260087557
71	0.2598173639
72	0.2595651228
73	0.2592229303
74	0.2589468686
75	0.258663415
76	0.2583818152
77	0.2581015728
78	0.257875854
79	0.2576715637
80	0.2574494291
81	0.2572209227
82	0.2570337663
83	0.2568033827
84	0.256651936
85	0.2564716248
86	0.2562760006
87	0.2560781861
88	0.255925948
89	0.2557689784
90	0.2556081126
91	0.2554778324
92	0.2553300816
93	0.2551688215
94	0.2550094869
95	0.2548909495
96	0.2547565101
97	0.2546311635
98	0.2545114623
99	0.2543900505
100	0.2542956317
101	0.2541799787
102	0.2540779975
103	0.2539935246
104	0.2538833988
105	0.2537746582
106	0.253672166
107	0.2535602475
108	0.253482458
109	0.2533752566
110	0.2532976991
111	0.2531984623
112	0.2531275026
113	0.2530623616
114	0.2529921023
115	0.2529106287
116	0.2528521101
117	0.2527640253
118	0.2526845999
119	0.2526156772
120	0.2525382271
121	0.2524948697
122	0.2524098039
123	0.252351324
124	0.252275792
125	0.2522203949
126	0.2521409195
127	0.2520614089
128	0.2520072992
129	0.2519390059
130	0.2518714295
131	0.251833925
132	0.2517854144
133	0.2517186434
134	0.2516514205
135	0.2515844725
136	0.2515262842
137	0.2514768385
138	0.251432277
139	0.2513696412
140	0.2513234512
141	0.251271533
142	0.2512262668
143	0.2511798858
144	0.2511234696
145	0.2510716259
146	0.2510130933
147	0.2509732705
148	0.2509328732
149	0.2509009277
150	0.2508582542
151	0.2508006457
152	0.2507698597
153	0.2507274071
154	0.2506887331
155	0.2506422033
156	0.2506005982
157	0.2505630835
158	0.2505280706
159	0.2504945943
160	0.2504490908
161	0.2504268801
162	0.2503878878
163	0.2503550949
164	0.2503266401
165	0.2503007066
166	0.2502629009
167	0.250206661
168	0.250180202
169	0.2501263216
170	0.2500826678
171	0.2500268196
172	0.2499858687
173	0.249951298
174	0.2499217835
175	0.2498945182
176	0.2498528555
177	0.2498261416
178	0.2497966835
179	0.2497591266
180	0.2497231809
181	0.2496877673
182	0.2496683115
183	0.2496522861
184	0.2496150782
185	0.2495728092
186	0.2495402389
187	0.2495043597
188	0.2494747825
189	0.2494370167
190	0.2494198468
191	0.2493882665
192	0.2493528256
193	0.2493329556
194	0.2493035222
195	0.2492819585
196	0.2492513824
197	0.2492213141
198	0.249185476
199	0.2491614666
200	0.2491352927
201	0.2491191159
202	0.2490915273
203	0.2490773444
204	0.2490567114
205	0.249028394
206	0.2490000934
207	0.2489621315
208	0.2489411626
209	0.2489272397
210	0.2488922744
211	0.2488629185
212	0.24884427
213	0.2488242145
214	0.248792657
215	0.2487787547
216	0.2487632436
217	0.2487444787
218	0.2487275109
219	0.2487094402
220	0.2486925361
221	0.2486634347
222	0.2486357169
223	0.2486111545
224	0.2485944545
225	0.2485808435
226	0.2485636822
227	0.248528648
228	0.248502456
229	0.2484828302
230	0.2484601659
231	0.2484452344
232	0.2484203921
233	0.2483927396
234	0.2483779688
235	0.2483656445
236	0.2483492566
237	0.2483200919
238	0.2483025808
239	0.2482912959
240	0.2482542413
241	0.2482408446
242	0.2482288208
243	0.248206948
244	0.2481881449
245	0.2481770884
246	0.2481625235
247	0.2481389867
248	0.2481129551
249	0.2480904865
